Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Score
2cf4636b-2fcc-4dab-8f1f-bee6d5b0d68d,633126,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,Modified,100.0
398707db-b986-4376-ba2a-ae5d31ce2728,636092,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,100.0
5ce5518b-68f6-45c5-ab60-a358eb64d7d9,601484,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
1c67c1ec-e49b-4543-b05e-e039c536bcfd,633926,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Business Administration,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
3b121902-1899-4506-8aac-85eb952ac17b,614036,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
dd045082-a936-40ee-88e9-223e605cc40a,597516,API,Google,No,No,1,2.0,1416,1.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
497da70e-cef7-4f7c-a3e8-3ea079fac31c,627186,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
fe60ef63-0cef-441c-b474-9816bbc4add5,596741,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
91c54138-bd1c-4890-b7f5-8773418b18f8,620517,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
ada0c7d1-9f64-46b8-ad05-8127e9485add,643461,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,100.0
7f9fa790-b58b-4192-9f63-8ada4274470c,605262,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Healthcare Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
7c4830fd-b0d0-4ec0-967b-f8d23853d2b9,613488,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
5ca37d52-ad07-4658-8313-75afd90f31f3,614096,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
d8f91286-32ea-469b-819f-36f498c4cfad,610330,API,Organic Search,No,No,1,6.0,1201,3.0,SMS Sent,India,Media and Advertising,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,,,,,No,No,SMS Sent,100.0
d5a9b668-ddad-4795-bf0e-a28390748a90,605216,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
373a442f-e580-4190-9568-769bc4d2cc99,600705,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
9feb6db6-ece4-4c2a-9221-de35dc1c6b3e,605230,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
28d2759d-39fc-40de-9091-90130c68edb2,633914,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
9cfe699a-924f-457e-8a4d-4bd9c125aced,617842,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,100.0
5e026ee7-1eb5-4836-b1d0-62069659751b,614103,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
255296b5-8a0c-493f-92ac-01f7c0e9cc7d,642205,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,100.0
d0849dba-2a45-4672-9e10-12a1248e8539,633962,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
281154db-fac5-41b9-b798-6933fb714f46,633915,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
bb9857a1-b8fb-4485-9487-45a4071f2b3b,617711,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,100.0
8db25cc8-496c-4ac7-a851-68749fd02384,631408,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
f0de9371-4dc2-48c2-9785-a08d6fc4fcb5,602540,Lead Add Form,Welingak Website,Yes,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
bad2625c-31f7-48da-bb7d-812c08673014,594521,API,Direct Traffic,No,No,1,2.0,1441,2.0,SMS Sent,India,IT Projects Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
de6e0379-c812-4c42-b3dd-b53b3ab2a6ff,588111,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,SMS Sent,100.0
20222cb2-a71f-469b-8269-672f358ef3de,614018,Landing Page Submission,Organic Search,No,No,1,4.0,1189,4.0,SMS Sent,India,Business Administration,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
8de9dcc7-f06f-48fc-bd52-1285789eed78,626526,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
2f302f24-3151-4763-afdc-a80d9750b3d8,627173,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
86735364-0955-47c9-a993-64c075c4b544,605271,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
d0514e93-3542-4931-9b36-8eabf519606d,624434,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
5149737b-4179-4fc0-8a6e-06daaff874e5,621116,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
8eafe949-b8da-41ff-a11a-f95bf583b9b2,602755,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
b6209632-0766-4be5-9318-a9c5484eb6af,623332,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
bb83f4ad-646f-49e8-bd8a-75a7cce69e49,614067,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
8fecb1f3-e4b8-4ce2-9439-114dfdf87759,598199,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
8d411c31-4136-4b31-836b-fcc0e9b4160a,598899,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
f8abe04a-fa00-4e36-bd6b-7eecd0ba66a5,595703,API,Google,No,No,1,2.0,1311,1.0,SMS Sent,India,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
d0a8a0aa-fabd-410a-ad18-e88d6d8ab56e,633904,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,100.0
19991a9b-6339-43d1-8989-1dcd43d9890b,627248,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,100.0
21ed04dc-f9a4-41a8-9a41-16b74531ab7d,598742,Landing Page Submission,Direct Traffic,No,No,1,3.0,1371,3.0,SMS Sent,India,Business Administration,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,100.0
be35660f-d1bc-4232-a611-ea3c51b67917,599423,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Modified,99.0
f20c107c-bdac-4161-9c31-e653f38799ca,620189,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Healthcare Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,No,Modified,99.0
3830dbdd-b294-481f-8548-9478febac48a,606393,API,Google,No,No,1,2.0,1488,2.0,SMS Sent,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,SMS Sent,99.0
3ccec243-24e7-4796-aa58-d3fdf9a8d5cf,587953,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,SMS Sent,99.0
fcc49ba4-589a-4166-b66f-7f2dfb9d1e71,612971,Lead Add Form,Reference,No,No,1,,1672,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Select,,,,,No,No,Modified,99.0
ab5bca4b-4a68-4b54-ab2f-6eb62d0a9837,614087,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Link Clicked,,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Select,,,,,No,No,Email Link Clicked,99.0
7e442d66-922c-4bda-b173-a7f0c2a34dd7,634466,API,Google,No,No,1,4.0,1524,1.33,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,99.0
46b71694-3033-4354-a7f6-6ef674d923d4,639253,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,Modified,99.0
c268e6bb-2964-4568-b0f5-09c10c85f12b,639710,API,Google,No,No,1,3.0,992,3.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,SMS Sent,99.0
729e244b-5298-4cec-b31d-ac620bd1af81,613438,Landing Page Submission,Google,No,No,1,7.0,1398,3.5,SMS Sent,India,Media and Advertising,Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,,,,,No,No,SMS Sent,99.0
af334ec6-bfff-4de7-b59d-d8c2fae37795,644137,Landing Page Submission,Google,No,No,1,4.0,847,4.0,Email Opened,India,Human Resource Management,Online Search,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Email Opened,99.0
bf86a7fc-b401-4163-bc92-47cd299cdf9a,640348,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened,99.0
bbde6fc3-babe-44eb-971f-17e8f5218f05,639504,API,Google,No,No,1,2.0,1196,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,99.0
7d8e422d-3bfe-47de-bf3a-77f779404dd6,646413,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Select,Select,02.Medium,01.High,14.0,17.0,No,No,SMS Sent,99.0
d3f05bd0-5777-4d90-b6c8-1e3bdf8bb42f,587894,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,SMS Sent,99.0
dfa8a8ca-b2c5-4c64-9e62-9d47ecbe1e41,637172,API,Google,No,No,1,4.0,1453,1.33,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,99.0
e1211262-c05b-4334-80b1-8a183e5a80d9,613194,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,99.0
40ae37e6-dd16-438f-8349-41b7fa53d3cf,628282,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,99.0
00e44407-79f1-470b-931d-ad2a8588aa1c,640108,API,Google,No,No,1,2.0,1349,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent,99.0
4432dce6-e555-4b83-bb02-0b2d3da9b479,639530,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,02.Medium,16.0,15.0,No,No,SMS Sent,99.0
7d4f30ab-e118-45b4-b834-b1ec97b5cd74,612085,API,Google,No,No,1,3.0,1774,3.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,99.0
3a4edfa5-d54e-4571-a589-411e5c2ba365,621560,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,99.0
37e5c105-b9a8-466b-a9cb-b462058eb8ec,605211,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,Email Opened,99.0
e7524e35-923e-4c9f-800d-b18e1a6c5e3b,640081,Lead Add Form,,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,15.0,16.0,No,No,SMS Sent,99.0
f3e8d64e-7d7c-42af-a190-2cf4b9932cc3,594486,API,Organic Search,No,No,1,2.0,869,1.0,SMS Sent,India,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,99.0
15896120-0327-434b-ae06-e022271a47d6,615013,Lead Add Form,Reference,Yes,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent,99.0
59a4ead6-370b-43b5-8932-64859d5499af,587940,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Page Visited on Website,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,Modified,99.0
c708f6c5-7da5-4c59-8ee9-026b346d0fb9,623851,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Select,Select,,,,,No,No,SMS Sent,99.0
7d69a4b8-aea0-41dc-9ef8-62b8b9d4b9cd,611150,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,99.0
d935a637-1b8a-4030-a025-8c3c498d63d3,607674,Lead Add Form,Reference,No,No,1,,1445,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Select,,,,,No,No,Modified,99.0
fbe2eb65-608d-4504-a6b4-93e9b3578c7c,631282,API,Google,No,No,1,5.0,1469,5.0,SMS Sent,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent,99.0
49ce3de5-0035-48f8-afd3-2954fd57aab8,600391,API,Google,No,No,1,2.0,1461,2.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,,,,,No,No,SMS Sent,99.0
b6f6fa5a-1887-4df3-94b3-88e1afc6a6bb,646337,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,No,SMS Sent,99.0
800cfac0-ea3b-4ff9-896f-773a3d7c9af4,588048,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,SMS Sent,99.0
4f931ef5-830d-4a85-a1ff-d6d3fc9f1c49,613774,API,Google,No,No,1,3.0,1341,3.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,,,,,No,No,SMS Sent,99.0
