Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
e7d28e0f-0e5c-4116-8834-95f1d27fc64f,623471,Landing Page Submission,Direct Traffic,No,No,1,4.0,949,2.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,,,,,No,Yes,SMS Sent
607d778d-c65a-4be8-be44-d7d1aa95f833,604391,Landing Page Submission,Google,No,No,0,13.0,62,2.17,Page Visited on Website,India,Media and Advertising,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,17.0,No,Yes,Page Visited on Website
e55f3c67-b90c-4091-a317-33acc1360036,634632,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,01.High,14.0,17.0,No,No,SMS Sent
810db5a5-815f-460f-891a-372f7ab15814,607688,Landing Page Submission,Direct Traffic,No,No,0,4.0,436,4.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Other Cities,,,,,No,Yes,Email Opened
cd2aa7ed-f539-416d-a1c1-8a679c0e47d6,624586,Landing Page Submission,Google,No,No,0,4.0,98,4.0,Email Opened,India,Supply Chain Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,,,,,No,No,Email Opened
0bc2ee5a-e867-4f80-ab1c-58f2803a6291,589758,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,847,1.0,Email Bounced,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Not doing further education,Worst,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
2d4a4b46-1511-420d-8bbd-82f077f1653b,627833,Landing Page Submission,Direct Traffic,No,No,1,4.0,1495,4.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,Yes,Email Opened
eea48a47-bb1b-48a0-9cc9-2e6df5f097b4,614573,Landing Page Submission,Google,No,No,1,3.0,1590,3.0,SMS Sent,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,,,,,No,No,SMS Sent
fb938991-2f1b-4e1a-ba55-e7f98c9ced9e,626142,Landing Page Submission,Organic Search,No,No,1,5.0,1221,5.0,Converted to Lead,India,Hospitality Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Metro Cities,,,,,No,Yes,Modified
26427a9a-a1f5-4125-af58-cdf40522cd14,614007,API,Google,No,No,1,2.0,1177,1.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,,,,,No,No,SMS Sent
417709cc-043e-47f7-b7eb-7f719cfdea31,645172,Landing Page Submission,Google,No,No,1,4.0,1588,4.0,SMS Sent,India,Human Resource Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,SMS Sent
2e553d81-705a-4688-94aa-23e0d0df31ba,615988,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
f3af2d98-02db-45d7-bbf6-c641d6b4f4c3,641410,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
116912a3-182f-4c77-a121-d2b4e1acdf04,655281,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
631a8c90-5a0f-4f02-995f-a10818e2f93e,582287,API,Google,No,No,0,2.0,124,1.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Potential Lead,Select,03.Low,02.Medium,10.0,16.0,No,No,SMS Sent
1b38f323-932e-4d93-bc61-339714e9d9ee,606642,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Might be,No,No,Other Leads,Select,,,,,No,No,Modified
d5073d50-2944-405e-872f-99023f4a0177,654947,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
37a153b1-8198-42c7-865e-7314ab78c8f2,652986,Landing Page Submission,Organic Search,No,No,1,3.0,1746,3.0,Page Visited on Website,India,Rural and Agribusiness,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Other Cities,01.High,02.Medium,16.0,13.0,No,Yes,Modified
555a9665-130b-45ec-a318-8b95e36acbe2,618334,API,Olark Chat,No,No,0,4.0,169,1.33,Email Opened,India,Supply Chain Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Thane & Outskirts,,,,,No,Yes,Email Opened
eca7e7da-f689-420f-a409-525fc0905655,626281,Landing Page Submission,Direct Traffic,No,No,0,4.0,115,4.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,Yes,Email Opened
0ad6eef7-7935-499d-903b-bf17566b241e,658193,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Lateral Student,Select,02.Medium,01.High,15.0,18.0,No,No,Modified
94b70d4d-47ce-42a3-8bc4-427ccf4433a4,585071,API,Google,No,No,1,3.0,746,3.0,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Unreachable
c5cdd6de-aefb-4090-9c6a-89f57f81a757,608809,Landing Page Submission,Direct Traffic,No,No,0,6.0,379,2.0,SMS Sent,India,Healthcare Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,wrong number given,Might be,No,No,Select,Thane & Outskirts,,,,,No,Yes,SMS Sent
e63beca5-f17d-4e13-8b17-6270c7544cec,621386,Landing Page Submission,Organic Search,No,No,1,5.0,332,2.5,SMS Sent,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,,,,,No,No,SMS Sent
2500b781-458b-484d-8ec8-099bf279d501,632143,Landing Page Submission,Google,No,No,0,10.0,479,3.33,Email Opened,India,Operations Management,Student of SomeSchool,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,Yes,Email Opened
f860aca1-b041-4ce9-9be5-2fa92653aecb,629882,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
f15efe2e-b908-4916-91bf-5edb1735af51,587046,Landing Page Submission,Direct Traffic,No,No,1,2.0,86,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
6a54f413-0f76-4d6d-b197-9f60eace8ae8,611863,API,Organic Search,Yes,No,1,11.0,1494,11.0,SMS Sent,India,Select,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent
93c84daf-92e6-4014-a30e-1e5a10273535,589340,Landing Page Submission,Organic Search,No,No,1,5.0,1223,5.0,Approached upfront,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Thane & Outskirts,01.High,01.High,16.0,17.0,No,Yes,Modified
acc68dd9-d521-48c4-bf28-aef2174ca10c,631121,API,Olark Chat,No,No,0,7.0,74,1.4,SMS Sent,India,E-COMMERCE,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,SMS Sent
0cd6d45c-c90e-4a6d-8da5-2c6edd9618a0,622295,API,Google,No,No,1,4.0,734,4.0,SMS Sent,India,Operations Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,No,SMS Sent
6b5b460e-9f7f-4806-8211-56490812407a,582230,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lateral student,High in Relevance,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified
820592d8-996c-4152-a935-0ed7a2c252e2,610749,Landing Page Submission,Organic Search,No,No,0,7.0,279,3.5,Form Submitted on Website,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,No,Modified
37ac3796-72e3-4146-9533-d00ebadfcc7b,636769,Landing Page Submission,Direct Traffic,No,No,0,2.0,1492,2.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Other Cities,02.Medium,02.Medium,14.0,14.0,No,Yes,Modified
f521a170-326f-4ca7-a0b3-1483dc4394a3,628916,Landing Page Submission,Direct Traffic,No,No,1,2.0,1844,2.0,SMS Sent,India,International Business,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
3f46b8d1-69fc-469c-a4ba-b877508baf82,593828,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
037934ec-d69c-4c75-9974-b8d8ccd1cb05,640442,Landing Page Submission,Organic Search,No,No,1,4.0,852,4.0,Email Link Clicked,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,14.0,16.0,No,No,Email Link Clicked
ddcd5e44-7c15-40d1-b57c-02881d5c56cc,583708,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
ff8bc336-6906-4d43-9480-60808bf8dae0,643974,API,Google,Yes,No,0,2.0,96,2.0,Email Bounced,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,03.Low,02.Medium,12.0,15.0,No,No,Modified
c6808ddd-82c1-4631-8875-22ba58ecc8bf,585772,Landing Page Submission,Google,No,No,1,4.0,1284,4.0,Unreachable,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified
a5ebbc0f-2509-49f7-bebf-4f8f8e5be44c,628050,Landing Page Submission,Direct Traffic,No,No,0,2.0,242,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened
76799b19-58c6-4378-94de-33b4a74ff800,582875,Landing Page Submission,Organic Search,No,No,0,3.0,1168,3.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,Yes,Modified
0d8e6d57-95af-4429-9905-8affe87e9541,594569,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
65ec788e-9dc6-454e-ad38-cfcb3a1da27a,611567,Landing Page Submission,Direct Traffic,No,No,1,2.0,1496,2.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,,,,,No,Yes,SMS Sent
6ea8674b-9222-4b73-a193-1f64cecb216c,643040,Landing Page Submission,Direct Traffic,No,No,0,6.0,5,6.0,Page Visited on Website,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Yes,Page Visited on Website
1520480f-4226-4fe3-9136-8aa2bc9cdf05,603146,API,Olark Chat,Yes,No,0,0.0,0,0.0,Email Bounced,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
5afcfb7a-288a-431a-803b-e7cff617739a,613339,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,Email Opened
daa35566-8fc8-47d2-9b2b-9aa9fd23523c,650820,Landing Page Submission,Organic Search,No,No,1,4.0,1425,4.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Modified
cf070253-5329-4c78-84fb-73c945ec5f67,603542,API,Google,No,No,0,2.0,235,1.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Select,,,,,No,No,Email Opened
079882c4-cdcb-4dbd-abfd-cd2ef7b118dd,637500,Landing Page Submission,Google,No,No,1,3.0,1475,3.0,SMS Sent,India,Rural and Agribusiness,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,02.Medium,02.Medium,13.0,13.0,No,No,SMS Sent
823ade03-e921-4c04-a1fe-62424a24e2df,601458,API,Olark Chat,Yes,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,Email Opened
bbcfddcc-1bc8-4c30-b036-9782b3526f7c,657295,Landing Page Submission,Direct Traffic,No,No,0,4.0,174,4.0,Email Opened,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
264c632e-70d9-457d-8e89-2fd2a688f3f1,588179,Landing Page Submission,Direct Traffic,No,No,0,3.0,286,3.0,Olark Chat Conversation,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Other Metro Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,Modified
171defdc-6c7b-4486-9a3b-527de447d2d5,659963,API,Referral Sites,No,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,01.High,02.Medium,16.0,15.0,No,No,Page Visited on Website
de393f4f-c7bf-4a9c-8ede-719862556b7e,602757,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Modified
28792e20-2f28-4ec2-b4a4-a8405187e6aa,586758,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities,02.Medium,02.Medium,15.0,14.0,No,No,Email Opened
1413bf41-c7b5-494f-ab82-f9e35cf609e1,593016,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,02.Medium,01.High,14.0,18.0,No,No,Email Opened
1f79bfa1-4770-4cd8-b349-76cb91dde28b,606650,API,Olark Chat,Yes,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
bcfdd00e-99d2-4be1-b09b-a6260a63dade,633945,Lead Add Form,,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,,,,,No,No,SMS Sent
bbfef55c-29af-4e74-b700-7481f16f06ee,603003,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
535fe2da-f6ab-42b3-bdf3-b225a435d94b,606524,Landing Page Submission,Direct Traffic,No,No,0,1.0,517,1.0,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Mumbai,,,,,No,Yes,Modified
2c0cc21f-0a04-4ccb-8cc1-7ee1b3af5883,616749,API,Google,No,No,0,2.0,67,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Select,,,,,No,No,SMS Sent
789a46e1-6372-4c4c-a3af-95c2182d35fa,600201,API,Olark Chat,No,No,1,5.0,1333,1.67,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
4d0dfa88-8aa9-4a80-8abb-f71f2961c9a2,657302,API,Organic Search,No,No,0,5.0,297,2.5,Email Link Clicked,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,14.0,15.0,No,No,Email Link Clicked
488810a0-4ba7-45bb-9948-bc78ee29ea9a,634776,Landing Page Submission,Organic Search,No,No,1,5.0,1025,5.0,SMS Sent,India,Human Resource Management,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,SMS Sent
ce476769-2104-448b-b329-352302df4649,610888,API,Google,No,No,0,3.0,120,1.5,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
180dfe96-0756-46c2-b11f-59c1c8d41c6d,626813,Landing Page Submission,Organic Search,No,No,1,5.0,1063,5.0,SMS Sent,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Might be,No,No,Potential Lead,Other Cities,,,,,No,Yes,Modified
8ec273c5-40e7-4231-8a09-ff137a0f4e86,653848,Landing Page Submission,Google,No,No,0,12.0,333,6.0,Page Visited on Website,India,Marketing Management,Word Of Mouth,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
6d1012f6-59ef-4d37-9b37-32ca1031b156,645524,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified
185a87bd-6507-4108-98c9-8690730d182f,580575,API,Organic Search,No,No,1,4.0,860,2.0,SMS Sent,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent
abe84d69-3c33-4c85-a4fd-fefe69132aee,580568,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,SMS Sent
77ccc636-cd07-4caf-8e98-794100da2c39,596770,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Other Cities,,,,,No,No,Email Opened
6d0c0741-5774-4089-9168-c8a5320347da,601102,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,,,,,No,No,Email Opened
07905ff4-7d11-4161-9a47-1c4ed1e43d05,623101,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
cd1bb429-b8d7-4abc-8487-902194a3bbcc,596611,Landing Page Submission,Direct Traffic,No,No,0,5.0,369,5.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,,,,,No,No,Email Opened
9917c522-e556-47ea-a5a0-cd9c6561536d,653527,API,Referral Sites,No,No,0,3.0,193,1.5,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,13.0,No,No,Email Opened
